Estimate Status,Year,State,Fishing Area,Angler Trips,PSE
FINAL,1983,LOUISIANA,INLAND,1774484,11.2
FINAL,1983,MISSISSIPPI,OCEAN (<= 3 MI),120053,10
FINAL,1983,MISSISSIPPI,OCEAN (> 3 MI),409362,9.9
FINAL,1983,MISSISSIPPI,INLAND,221920,17.6
FINAL,1984,ALABAMA,OCEAN (<= 3 MI),238527,18.6
FINAL,1984,ALABAMA,OCEAN (> 3 MI),311760,14.7
FINAL,1984,FLORIDA,OCEAN (<= 10 MI),8775092,7.4
FINAL,1984,FLORIDA,OCEAN (> 10 MI),1464157,22.7
FINAL,1984,FLORIDA,INLAND,2522987,17.3
FINAL,1984,LOUISIANA,OCEAN (<= 3 MI),543914,26.8
FINAL,1984,LOUISIANA,OCEAN (> 3 MI),457027,22.6
FINAL,1984,LOUISIANA,INLAND,2377991,8.9
FINAL,1984,MISSISSIPPI,OCEAN (<= 3 MI),174051,13.4
FINAL,1984,MISSISSIPPI,OCEAN (> 3 MI),283732,10.1
FINAL,1984,MISSISSIPPI,INLAND,231980,10.8
FINAL,1985,ALABAMA,OCEAN (<= 3 MI),302005,11.9
FINAL,1985,ALABAMA,OCEAN (> 3 MI),255621,14.3
FINAL,1985,FLORIDA,OCEAN (<= 10 MI),6198247,11.7
FINAL,1985,FLORIDA,OCEAN (> 10 MI),1655300,23.3
FINAL,1985,FLORIDA,INLAND,3157970,25.4
FINAL,1985,LOUISIANA,OCEAN (<= 3 MI),464609,18.3
FINAL,1985,LOUISIANA,OCEAN (> 3 MI),340531,26.9
FINAL,1985,LOUISIANA,INLAND,2614928,6.5
FINAL,1985,MISSISSIPPI,OCEAN (<= 3 MI),239849,8.4
FINAL,1985,MISSISSIPPI,OCEAN (> 3 MI),82007,36.7
FINAL,1985,MISSISSIPPI,INLAND,410415,10.8
FINAL,1986,ALABAMA,OCEAN (<= 3 MI),158835,15.4
FINAL,1986,ALABAMA,OCEAN (> 3 MI),187612,16.8
FINAL,1986,ALABAMA,INLAND,261023,16.1
FINAL,1986,FLORIDA,OCEAN (<= 10 MI),6253739,6.7
FINAL,1986,FLORIDA,OCEAN (> 10 MI),1394200,13.7
FINAL,1986,FLORIDA,INLAND,2894224,11.2
FINAL,1986,LOUISIANA,OCEAN (<= 3 MI),712007,9.6
FINAL,1986,LOUISIANA,OCEAN (> 3 MI),299469,12.8
FINAL,1986,LOUISIANA,INLAND,2287734,5
FINAL,1986,MISSISSIPPI,OCEAN (<= 3 MI),6167,24.7
FINAL,1986,MISSISSIPPI,OCEAN (> 3 MI),52045,32.7
FINAL,1986,MISSISSIPPI,INLAND,644742,5.1
FINAL,1987,ALABAMA,OCEAN (<= 3 MI),142506,13.9
FINAL,1987,ALABAMA,OCEAN (> 3 MI),340709,9.5
FINAL,1987,ALABAMA,INLAND,122749,23
FINAL,1987,FLORIDA,OCEAN (<= 10 MI),6517488,5.4
FINAL,1987,FLORIDA,OCEAN (> 10 MI),2425246,10.1
FINAL,1987,FLORIDA,INLAND,2558736,9.5
FINAL,1987,LOUISIANA,OCEAN (<= 3 MI),862046,13.5
FINAL,1987,LOUISIANA,OCEAN (> 3 MI),228741,21.7
FINAL,1987,LOUISIANA,INLAND,2091976,7
FINAL,1987,MISSISSIPPI,OCEAN (<= 3 MI),42447,26.2
FINAL,1987,MISSISSIPPI,OCEAN (> 3 MI),139654,19.4
FINAL,1987,MISSISSIPPI,INLAND,523917,7.4
FINAL,1988,ALABAMA,OCEAN (<= 3 MI),127103,18.9
FINAL,1988,ALABAMA,OCEAN (> 3 MI),221113,17.7
FINAL,1988,ALABAMA,INLAND,275571,15.2
FINAL,1988,FLORIDA,OCEAN (<= 10 MI),6252226,5.7
FINAL,1988,FLORIDA,OCEAN (> 10 MI),2655226,8.2
FINAL,1988,FLORIDA,INLAND,4106151,7.9
FINAL,1988,LOUISIANA,OCEAN (<= 3 MI),248447,15.6
FINAL,1988,LOUISIANA,OCEAN (> 3 MI),352050,18.3
FINAL,1988,LOUISIANA,INLAND,2489602,4.8
FINAL,1988,MISSISSIPPI,OCEAN (<= 3 MI),36342,21.4
FINAL,1988,MISSISSIPPI,OCEAN (> 3 MI),120858,22.8
FINAL,1988,MISSISSIPPI,INLAND,531159,7.1
FINAL,1989,ALABAMA,OCEAN (<= 3 MI),84125,18.6
FINAL,1989,ALABAMA,OCEAN (> 3 MI),250795,17
FINAL,1989,ALABAMA,INLAND,346327,12.6
FINAL,1989,FLORIDA,OCEAN (<= 10 MI),6119899,6
FINAL,1989,FLORIDA,OCEAN (> 10 MI),3578711,9.7
FINAL,1989,FLORIDA,INLAND,3802483,9.2
FINAL,1989,LOUISIANA,OCEAN (<= 3 MI),350629,15.3
FINAL,1989,LOUISIANA,OCEAN (> 3 MI),376313,21
FINAL,1989,LOUISIANA,INLAND,2552363,5.4
FINAL,1989,MISSISSIPPI,OCEAN (<= 3 MI),46026,28.8
FINAL,1989,MISSISSIPPI,OCEAN (> 3 MI),148388,22.5
FINAL,1989,MISSISSIPPI,INLAND,524690,8.6
FINAL,1990,ALABAMA,OCEAN (<= 3 MI),98210,20.9
FINAL,1990,ALABAMA,OCEAN (> 3 MI),286370,10.7
FINAL,1990,ALABAMA,INLAND,280036,14
FINAL,1990,FLORIDA,OCEAN (<= 3 MI),7524,101.5
FINAL,1990,FLORIDA,OCEAN (<= 10 MI),5614066,6.7
FINAL,1990,FLORIDA,OCEAN (> 10 MI),2718574,10.9
FINAL,1990,FLORIDA,INLAND,5508089,8.5
FINAL,1990,LOUISIANA,OCEAN (<= 3 MI),516807,14.2
FINAL,1990,LOUISIANA,OCEAN (> 3 MI),395287,15.9
FINAL,1990,LOUISIANA,INLAND,2607886,5.6
FINAL,1990,MISSISSIPPI,OCEAN (<= 3 MI),108153,10.7
FINAL,1990,MISSISSIPPI,OCEAN (> 3 MI),192592,15.8
FINAL,1990,MISSISSIPPI,INLAND,471534,8.3
FINAL,1991,ALABAMA,OCEAN (<= 3 MI),215857,11.9
FINAL,1991,ALABAMA,OCEAN (> 3 MI),377360,10.8
FINAL,1991,ALABAMA,INLAND,217666,18.7
FINAL,1991,FLORIDA,OCEAN (<= 10 MI),5807412,7
FINAL,1991,FLORIDA,OCEAN (> 10 MI),2860242,10.9
FINAL,1991,FLORIDA,INLAND,6107419,7.6
FINAL,1991,LOUISIANA,OCEAN (<= 3 MI),695145,13
FINAL,1991,LOUISIANA,OCEAN (> 3 MI),245996,22.8
FINAL,1991,LOUISIANA,INLAND,2653293,5.5
FINAL,1991,MISSISSIPPI,OCEAN (<= 3 MI),67659,23.7
FINAL,1991,MISSISSIPPI,OCEAN (> 3 MI),225782,19
FINAL,1991,MISSISSIPPI,INLAND,586358,7.9
FINAL,1992,ALABAMA,OCEAN (<= 3 MI),145325,16.6
FINAL,1992,ALABAMA,OCEAN (> 3 MI),402787,10.7
FINAL,1992,ALABAMA,INLAND,320123,13.6
FINAL,1992,FLORIDA,OCEAN (<= 10 MI),5669875,5.1
FINAL,1992,FLORIDA,OCEAN (> 10 MI),2593110,8.3
FINAL,1992,FLORIDA,INLAND,5906486,5.6
FINAL,1992,LOUISIANA,OCEAN (<= 3 MI),333841,12.2
FINAL,1992,LOUISIANA,OCEAN (> 3 MI),282683,16.9
FINAL,1992,LOUISIANA,INLAND,3196960,4.2
FINAL,1992,MISSISSIPPI,OCEAN (<= 3 MI),18640,16.9
FINAL,1992,MISSISSIPPI,OCEAN (> 3 MI),177618,12.2
FINAL,1992,MISSISSIPPI,INLAND,681167,5
FINAL,1993,ALABAMA,OCEAN (<= 3 MI),203537,18.9
FINAL,1993,ALABAMA,OCEAN (> 3 MI),422089,12.9
FINAL,1993,ALABAMA,INLAND,300558,18.3
FINAL,1993,FLORIDA,OCEAN (<= 10 MI),5916965,5.9
FINAL,1993,FLORIDA,OCEAN (> 10 MI),2664146,8
FINAL,1993,FLORIDA,INLAND,6493627,6.1
FINAL,1993,LOUISIANA,OCEAN (<= 3 MI),677013,15
FINAL,1993,LOUISIANA,OCEAN (> 3 MI),403396,18
FINAL,1993,LOUISIANA,INLAND,2850282,5.8
FINAL,1993,MISSISSIPPI,OCEAN (<= 3 MI),77572,29
FINAL,1993,MISSISSIPPI,OCEAN (> 3 MI),260574,13.8
FINAL,1993,MISSISSIPPI,INLAND,614732,7.7
FINAL,1994,ALABAMA,OCEAN (<= 3 MI),223424,14
FINAL,1994,ALABAMA,OCEAN (> 3 MI),393920,10.9
FINAL,1994,ALABAMA,INLAND,345348,14
FINAL,1994,FLORIDA,OCEAN (<= 10 MI),5714833,5.6
FINAL,1994,FLORIDA,OCEAN (> 10 MI),2685035,8.2
FINAL,1994,FLORIDA,INLAND,6453932,6.3
FINAL,1994,LOUISIANA,OCEAN (<= 3 MI),377329,22.2
FINAL,1994,LOUISIANA,OCEAN (> 3 MI),286701,22.2
FINAL,1994,LOUISIANA,INLAND,3210670,4.9
FINAL,1994,MISSISSIPPI,OCEAN (<= 3 MI),10360,58.7
FINAL,1994,MISSISSIPPI,OCEAN (> 3 MI),158875,20.2
FINAL,1994,MISSISSIPPI,INLAND,806714,5.6
FINAL,1995,ALABAMA,OCEAN (<= 3 MI),186539,13.1
FINAL,1995,ALABAMA,OCEAN (> 3 MI),527240,10.4
FINAL,1995,ALABAMA,INLAND,290088,18.1
FINAL,1995,FLORIDA,OCEAN (<= 10 MI),5940841,5.5
FINAL,1995,FLORIDA,OCEAN (> 10 MI),3449622,8.4
FINAL,1995,FLORIDA,INLAND,6129972,6.9
FINAL,1995,LOUISIANA,OCEAN (<= 3 MI),507257,16.8
FINAL,1995,LOUISIANA,OCEAN (> 3 MI),241172,29.6
FINAL,1995,LOUISIANA,INLAND,3197823,5
FINAL,1995,MISSISSIPPI,OCEAN (<= 3 MI),11613,65.1
FINAL,1995,MISSISSIPPI,OCEAN (> 3 MI),148093,23.7
FINAL,1995,MISSISSIPPI,INLAND,808571,5.9
FINAL,1996,ALABAMA,OCEAN (<= 3 MI),263003,11.7
FINAL,1996,ALABAMA,OCEAN (> 3 MI),568509,8.6
FINAL,1996,ALABAMA,INLAND,237984,18
FINAL,1996,FLORIDA,OCEAN (<= 10 MI),5096397,6
FINAL,1996,FLORIDA,OCEAN (> 10 MI),3264049,8.1
FINAL,1996,FLORIDA,INLAND,6984254,5.5
FINAL,1996,LOUISIANA,OCEAN (<= 3 MI),392371,17.3
FINAL,1996,LOUISIANA,OCEAN (> 3 MI),161143,27.2
FINAL,1996,LOUISIANA,INLAND,3592269,4.3
FINAL,1996,MISSISSIPPI,OCEAN (<= 3 MI),33356,28
FINAL,1996,MISSISSIPPI,OCEAN (> 3 MI),157415,17.3
FINAL,1996,MISSISSIPPI,INLAND,830546,5.3
FINAL,1997,ALABAMA,OCEAN (<= 3 MI),247835,18
FINAL,1997,ALABAMA,OCEAN (> 3 MI),614079,9.7
FINAL,1997,ALABAMA,INLAND,314086,17.5
FINAL,1997,FLORIDA,OCEAN (<= 10 MI),6434533,5.2
FINAL,1997,FLORIDA,OCEAN (> 10 MI),2717704,9.7
FINAL,1997,FLORIDA,INLAND,7303140,5.8
FINAL,1997,LOUISIANA,OCEAN (<= 3 MI),731828,12
FINAL,1997,LOUISIANA,OCEAN (> 3 MI),197617,26.2
FINAL,1997,LOUISIANA,INLAND,3401174,4.9
FINAL,1997,MISSISSIPPI,OCEAN (<= 3 MI),20446,27.7
FINAL,1997,MISSISSIPPI,OCEAN (> 3 MI),309571,14.5
FINAL,1997,MISSISSIPPI,INLAND,759687,7.1
FINAL,1998,ALABAMA,OCEAN (<= 3 MI),268304,11.5
FINAL,1998,ALABAMA,OCEAN (> 3 MI),382954,11.5
FINAL,1998,ALABAMA,INLAND,503241,10.2
FINAL,1998,FLORIDA,OCEAN (<= 10 MI),6489640,5.5
FINAL,1998,FLORIDA,OCEAN (> 10 MI),2239908,8.3
FINAL,1998,FLORIDA,INLAND,8126447,5.3
FINAL,1998,LOUISIANA,OCEAN (<= 3 MI),236382,19.1
FINAL,1998,LOUISIANA,OCEAN (> 3 MI),189734,29.4
FINAL,1998,LOUISIANA,INLAND,3986696,4.2
FINAL,1998,MISSISSIPPI,OCEAN (<= 3 MI),20218,33.5
FINAL,1998,MISSISSIPPI,OCEAN (> 3 MI),280383,14.9
FINAL,1998,MISSISSIPPI,INLAND,818754,6.3
FINAL,1999,ALABAMA,OCEAN (<= 3 MI),265933,11.5
FINAL,1999,ALABAMA,OCEAN (> 3 MI),522175,10.6
FINAL,1999,ALABAMA,INLAND,501389,11.6
FINAL,1999,FLORIDA,OCEAN (<= 10 MI),7423992,4.7
FINAL,1999,FLORIDA,OCEAN (> 10 MI),3023220,7.1
FINAL,1999,FLORIDA,INLAND,7673255,5
FINAL,1999,LOUISIANA,OCEAN (<= 3 MI),209675,17
FINAL,1999,LOUISIANA,OCEAN (> 3 MI),257273,19.6
FINAL,1999,LOUISIANA,INLAND,4381875,3.9
FINAL,1999,MISSISSIPPI,OCEAN (<= 3 MI),184206,18.9
FINAL,1999,MISSISSIPPI,OCEAN (> 3 MI),177187,18.1
FINAL,1999,MISSISSIPPI,INLAND,837946,7.1
FINAL,2000,ALABAMA,OCEAN (<= 3 MI),250657,11.3
FINAL,2000,ALABAMA,OCEAN (> 3 MI),563772,11.1
FINAL,2000,ALABAMA,INLAND,533943,13.2
FINAL,2000,FLORIDA,OCEAN (<= 10 MI),6291242,5.1
FINAL,2000,FLORIDA,OCEAN (> 10 MI),3180874,7.8
FINAL,2000,FLORIDA,INLAND,7723210,5.1
FINAL,2000,LOUISIANA,OCEAN (<= 3 MI),251026,16.3
FINAL,2000,LOUISIANA,OCEAN (> 3 MI),172682,21.4
FINAL,2000,LOUISIANA,INLAND,4909808,3.8
FINAL,2000,MISSISSIPPI,OCEAN (<= 3 MI),156722,20.3
FINAL,2000,MISSISSIPPI,OCEAN (> 3 MI),89413,24.4
FINAL,2000,MISSISSIPPI,INLAND,1010868,5.6
FINAL,2001,ALABAMA,OCEAN (<= 3 MI),374455,11.1
FINAL,2001,ALABAMA,OCEAN (> 3 MI),592155,10.5
FINAL,2001,ALABAMA,INLAND,497166,12.5
FINAL,2001,FLORIDA,OCEAN (<= 10 MI),7142604,5.3
FINAL,2001,FLORIDA,OCEAN (> 10 MI),3889843,7.4
FINAL,2001,FLORIDA,INLAND,8206519,5.1
FINAL,2001,LOUISIANA,OCEAN (<= 3 MI),201607,20.6
FINAL,2001,LOUISIANA,OCEAN (> 3 MI),180499,23.5
FINAL,2001,LOUISIANA,INLAND,5065376,3.9
FINAL,2001,MISSISSIPPI,OCEAN (<= 3 MI),21987,32.1
FINAL,2001,MISSISSIPPI,OCEAN (> 3 MI),118710,18.1
FINAL,2001,MISSISSIPPI,INLAND,1109868,4.7
FINAL,2002,ALABAMA,OCEAN (<= 3 MI),196216,13.2
FINAL,2002,ALABAMA,OCEAN (> 3 MI),607910,10.1
FINAL,2002,ALABAMA,INLAND,668408,9.6
FINAL,2002,FLORIDA,OCEAN (<= 10 MI),6066421,5
FINAL,2002,FLORIDA,OCEAN (> 10 MI),3693911,7.2
FINAL,2002,FLORIDA,INLAND,8626130,4.7
FINAL,2002,LOUISIANA,OCEAN (<= 3 MI),222687,18.7
FINAL,2002,LOUISIANA,OCEAN (> 3 MI),203571,22.6
FINAL,2002,LOUISIANA,INLAND,4673155,4.1
FINAL,2002,MISSISSIPPI,OCEAN (<= 3 MI),21958,40.8
FINAL,2002,MISSISSIPPI,OCEAN (> 3 MI),121211,24
FINAL,2002,MISSISSIPPI,INLAND,1092942,5
FINAL,2003,ALABAMA,OCEAN (<= 3 MI),322063,12.4
FINAL,2003,ALABAMA,OCEAN (> 3 MI),542246,13
FINAL,2003,ALABAMA,INLAND,766323,10.5
FINAL,2003,FLORIDA,OCEAN (<= 10 MI),5899560,5.1
FINAL,2003,FLORIDA,OCEAN (> 10 MI),3420216,7.9
FINAL,2003,FLORIDA,INLAND,9991734,4.6
FINAL,2003,LOUISIANA,OCEAN (<= 3 MI),135553,24.2
FINAL,2003,LOUISIANA,OCEAN (> 3 MI),169470,23.4
FINAL,2003,LOUISIANA,INLAND,4833217,4.1
FINAL,2003,MISSISSIPPI,OCEAN (<= 3 MI),3256,72.9
FINAL,2003,MISSISSIPPI,OCEAN (> 3 MI),110576,25.6
FINAL,2003,MISSISSIPPI,INLAND,1208195,5
FINAL,2004,ALABAMA,OCEAN (<= 3 MI),357530,16.1
FINAL,2004,ALABAMA,OCEAN (> 3 MI),614926,12
FINAL,2004,ALABAMA,INLAND,787355,10.4
FINAL,2004,FLORIDA,OCEAN (<= 10 MI),9093594,5.9
FINAL,2004,FLORIDA,OCEAN (> 10 MI),4770366,8.9
FINAL,2004,FLORIDA,INLAND,9439065,5.9
FINAL,2004,LOUISIANA,OCEAN (<= 3 MI),233044,20.8
FINAL,2004,LOUISIANA,OCEAN (> 3 MI),127499,24.4
FINAL,2004,LOUISIANA,INLAND,4466907,4.3
FINAL,2004,MISSISSIPPI,OCEAN (<= 3 MI),17473,51.4
FINAL,2004,MISSISSIPPI,OCEAN (> 3 MI),71829,34.5
FINAL,2004,MISSISSIPPI,INLAND,1236886,5.1
FINAL,2005,ALABAMA,OCEAN (<= 3 MI),416560,13.8
FINAL,2005,ALABAMA,OCEAN (> 3 MI),689702,12.3
FINAL,2005,ALABAMA,INLAND,736112,12.3
FINAL,2005,FLORIDA,OCEAN (<= 10 MI),8770022,6.2
FINAL,2005,FLORIDA,OCEAN (> 10 MI),3380333,11.5
FINAL,2005,FLORIDA,INLAND,9655531,6.1
FINAL,2005,LOUISIANA,OCEAN (<= 3 MI),125900,24.4
FINAL,2005,LOUISIANA,OCEAN (> 3 MI),114539,27.6
FINAL,2005,LOUISIANA,INLAND,4086490,4
FINAL,2005,MISSISSIPPI,OCEAN (<= 3 MI),58991,47.4
FINAL,2005,MISSISSIPPI,OCEAN (> 3 MI),63570,56.8
FINAL,2005,MISSISSIPPI,INLAND,1027718,5.9
FINAL,2006,ALABAMA,OCEAN (<= 3 MI),388508,14.8
FINAL,2006,ALABAMA,OCEAN (> 3 MI),568321,13.4
FINAL,2006,ALABAMA,INLAND,849965,10.4
FINAL,2006,FLORIDA,OCEAN (<= 10 MI),9617976,5.9
FINAL,2006,FLORIDA,OCEAN (> 10 MI),3336125,12.2
FINAL,2006,FLORIDA,INLAND,7068782,6.4
FINAL,2006,LOUISIANA,OCEAN (<= 3 MI),210409,19.7
FINAL,2006,LOUISIANA,OCEAN (> 3 MI),140467,20.6
FINAL,2006,LOUISIANA,INLAND,4027260,4.1
FINAL,2006,MISSISSIPPI,OCEAN (<= 3 MI),79832,35
FINAL,2006,MISSISSIPPI,OCEAN (> 3 MI),87571,27.7
FINAL,2006,MISSISSIPPI,INLAND,1224139,5.6
FINAL,2007,ALABAMA,OCEAN (<= 3 MI),516797,13.1
FINAL,2007,ALABAMA,OCEAN (> 3 MI),593410,15.6
FINAL,2007,ALABAMA,INLAND,891321,11.7
FINAL,2007,FLORIDA,OCEAN (<= 10 MI),8035817,6.4
FINAL,2007,FLORIDA,OCEAN (> 10 MI),2940289,9.8
FINAL,2007,FLORIDA,INLAND,9314283,5.9
FINAL,2007,LOUISIANA,OCEAN (<= 3 MI),171798,22.3
FINAL,2007,LOUISIANA,OCEAN (> 3 MI),173881,23.2
FINAL,2007,LOUISIANA,INLAND,4411232,4.2
FINAL,2007,MISSISSIPPI,OCEAN (<= 3 MI),24283,59.7
FINAL,2007,MISSISSIPPI,OCEAN (> 3 MI),40975,45.5
FINAL,2007,MISSISSIPPI,INLAND,1386096,5
FINAL,2008,ALABAMA,OCEAN (<= 3 MI),563542,16.7
FINAL,2008,ALABAMA,OCEAN (> 3 MI),384438,19.5
FINAL,2008,ALABAMA,INLAND,1313011,9.3
FINAL,2008,FLORIDA,OCEAN (<= 10 MI),8604268,6
FINAL,2008,FLORIDA,OCEAN (> 10 MI),3402629,9.6
FINAL,2008,FLORIDA,INLAND,10317165,5.5
FINAL,2008,LOUISIANA,OCEAN (<= 3 MI),144518,21
FINAL,2008,LOUISIANA,OCEAN (> 3 MI),134016,23.7
FINAL,2008,LOUISIANA,INLAND,4958196,4.3
FINAL,2008,MISSISSIPPI,OCEAN (<= 3 MI),55743,37.9
FINAL,2008,MISSISSIPPI,OCEAN (> 3 MI),134342,33.4
FINAL,2008,MISSISSIPPI,INLAND,1384917,6.5
FINAL,2009,ALABAMA,OCEAN (<= 3 MI),398120,16.4
FINAL,2009,ALABAMA,OCEAN (> 3 MI),502724,15.4
FINAL,2009,ALABAMA,INLAND,1381474,8.3
FINAL,2009,FLORIDA,OCEAN (<= 10 MI),6917770,7
FINAL,2009,FLORIDA,OCEAN (> 10 MI),2089495,11.2
FINAL,2009,FLORIDA,INLAND,10820860,5.4
FINAL,2009,LOUISIANA,OCEAN (<= 3 MI),131559,22.8
FINAL,2009,LOUISIANA,OCEAN (> 3 MI),170537,23.4
FINAL,2009,LOUISIANA,INLAND,5428740,4.4
FINAL,2009,MISSISSIPPI,OCEAN (<= 3 MI),59980,48.5
FINAL,2009,MISSISSIPPI,OCEAN (> 3 MI),132712,26.1
FINAL,2009,MISSISSIPPI,INLAND,1436413,5.8
FINAL,2010,ALABAMA,OCEAN (<= 3 MI),352657,17
FINAL,2010,ALABAMA,OCEAN (> 3 MI),389957,21
FINAL,2010,ALABAMA,INLAND,1573595,7.6
FINAL,2010,FLORIDA,OCEAN (<= 10 MI),6678023,7.1
FINAL,2010,FLORIDA,OCEAN (> 10 MI),2127517,12.2
FINAL,2010,FLORIDA,INLAND,11779053,5.2
FINAL,2010,LOUISIANA,OCEAN (<= 3 MI),126590,26.1
FINAL,2010,LOUISIANA,OCEAN (> 3 MI),24322,49.5
FINAL,2010,LOUISIANA,INLAND,5947184,4.2
FINAL,2010,MISSISSIPPI,OCEAN (<= 3 MI),48165,50.5
FINAL,2010,MISSISSIPPI,OCEAN (> 3 MI),28764,89
FINAL,2010,MISSISSIPPI,INLAND,1488898,5.3
FINAL,2011,ALABAMA,OCEAN (<= 3 MI),327845,15.5
FINAL,2011,ALABAMA,OCEAN (> 3 MI),628915,14
FINAL,2011,ALABAMA,INLAND,1331318,7.7
FINAL,2011,FLORIDA,OCEAN (<= 10 MI),6331639,6.4
FINAL,2011,FLORIDA,OCEAN (> 10 MI),2226282,10.7
FINAL,2011,FLORIDA,INLAND,12130396,5.3
FINAL,2011,LOUISIANA,OCEAN (<= 3 MI),163751,22.6
FINAL,2011,LOUISIANA,OCEAN (> 3 MI),174197,25.8
FINAL,2011,LOUISIANA,INLAND,5606174,4.6
FINAL,2011,MISSISSIPPI,OCEAN (<= 3 MI),52418,74.2
FINAL,2011,MISSISSIPPI,OCEAN (> 3 MI),63617,58.4
FINAL,2011,MISSISSIPPI,INLAND,1484422,6.5
FINAL,2012,ALABAMA,OCEAN (<= 3 MI),266490,14.3
FINAL,2012,ALABAMA,OCEAN (> 3 MI),479778,16
FINAL,2012,ALABAMA,INLAND,1368015,7.8
FINAL,2012,FLORIDA,OCEAN (<= 10 MI),7521951,6.7
FINAL,2012,FLORIDA,OCEAN (> 10 MI),2695849,11.2
FINAL,2012,FLORIDA,INLAND,13087872,5.2
FINAL,2012,LOUISIANA,OCEAN (<= 3 MI),237660,28
FINAL,2012,LOUISIANA,OCEAN (> 3 MI),170437,26
FINAL,2012,LOUISIANA,INLAND,5322195,4.9
FINAL,2012,MISSISSIPPI,OCEAN (<= 3 MI),13477,52.7
FINAL,2012,MISSISSIPPI,OCEAN (> 3 MI),145949,36.6
FINAL,2012,MISSISSIPPI,INLAND,1484061,6.3
FINAL,2013,ALABAMA,OCEAN (<= 3 MI),240082,15.9
FINAL,2013,ALABAMA,OCEAN (> 3 MI),526722,15.5
FINAL,2013,ALABAMA,INLAND,1388440,8.1
FINAL,2013,FLORIDA,OCEAN (<= 10 MI),6796591,8
FINAL,2013,FLORIDA,OCEAN (> 10 MI),2780540,13.1
FINAL,2013,FLORIDA,INLAND,11973939,5.8
FINAL,2013,LOUISIANA,OCEAN (<= 3 MI),136320,20.8
FINAL,2013,LOUISIANA,OCEAN (> 3 MI),104714,22.7
FINAL,2013,LOUISIANA,INLAND,5235583,4.7
FINAL,2013,MISSISSIPPI,OCEAN (<= 3 MI),8390,40.4
FINAL,2013,MISSISSIPPI,OCEAN (> 3 MI),91069,22.2
FINAL,2013,MISSISSIPPI,INLAND,1499911,6.1
FINAL,2014,ALABAMA,OCEAN (<= 3 MI),361653,13.2
FINAL,2014,ALABAMA,OCEAN (> 3 MI),347075,16.1
FINAL,2014,ALABAMA,INLAND,1328652,7.9
FINAL,2014,FLORIDA,OCEAN (<= 10 MI),5569249,7.4
FINAL,2014,FLORIDA,OCEAN (> 10 MI),2243024,9.6
FINAL,2014,FLORIDA,INLAND,11047013,6.4
FINAL,2014,MISSISSIPPI,OCEAN (<= 3 MI),20340,48.2
FINAL,2014,MISSISSIPPI,OCEAN (> 3 MI),107609,25
FINAL,2014,MISSISSIPPI,INLAND,1357950,5.9
FINAL,2015,ALABAMA,OCEAN (<= 3 MI),272609,19
FINAL,2015,ALABAMA,OCEAN (> 3 MI),474198,18
FINAL,2015,ALABAMA,INLAND,1333538,10.3
FINAL,2015,FLORIDA,OCEAN (<= 10 MI),5450553,8.6
FINAL,2015,FLORIDA,OCEAN (> 10 MI),2017217,10.7
FINAL,2015,FLORIDA,INLAND,9307429,7.3
FINAL,2015,MISSISSIPPI,OCEAN (<= 3 MI),85961,28.2
